lang_name,no_table_data_text,sort_label_text,filter_label_text,search_placeholder_text,page_next_text,page_previous_text,page_numbers_text,page_info_text,page_size_options_text,page_next_label_text,page_previous_label_text,page_number_label_text,page_jump_label_text,page_size_options_label_text
kab,Amezruy i d-yellan ara n yimyurar,Sseḥmi-d {name},Sefsex seg {name},Azen,Aɣilas,Aselkim,{page} deg {pages},{rowStart}\u2013{rowEnd} n {rows} tazwart,Seɣ {rows},Aɣbalu n yimeslayen,Aseggas n tala,Asebter {page},Seɣleɣ s wadda,Anwaɣ s yizerfan
kam,Kweetera hakuna data,Kwenyamo {name},Chungulia {name},Kutafuta,Ijue,Ithe,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} maundu,Mbuva {rows},Kurasa inayo,Kurasa Iliyopita,Kurasa {page},Nenda kwenye ukurasa,Mafano kila kurasa
kde,Jedwali halina data,Panga {name},Linga {name},Kutafuta,Kisha,Pakalipoli,{page} ya {pages},{rows} kwa {rowStart}\u2013{rowEnd} ya mashusho,Onyesha {rows},Ukurasa Ufwatavyo,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Viti va kila ukurasa
kea,Mesa kê sta dadu,Ordena pa {name},Filtla pa {name},Buska,Prósimu,Anterior,{page} di {pages},{rowStart}\u2013{rowEnd} di {rows} linhas,Montra {rows},Página próssima,Página anteriór,Pájina {page},Bai pa página,Línias pa págna
kgp,Tablii ma ka ne,Fam {name},Egã {name},Söö,Liwuli,Mbe'aondoo,{page} taa {pages},{rowStart}\u2013{rowEnd} ya {rows} ntsengo,Nɔɔ {rows},Next page,Kɛɛsa kɛ mɛtɔ,Leb {page},Ngɛmɛ́ mɔ́sí,Dzañy ma yxapy
khq,Tabalɛn naanɛ ko a waati,Seernaade {name},Luumen {name},Huda,Galle,Gondii,{page} ko {pages},{rows} tuma {rowStart}\u2013{rowEnd} të foy,Suuɗa {rows},Folonde gooto,Teerendul laamu,Kurzita {page},Yeesi kurkulle,Cimɓe nder ɓale
ki,Meza ni wendo,Ng'arisha {name},Sarira {name},Gũkũyũ,Riria,Kinyume,{page} ya {pages},{rowStart}\u2013{rowEnd} ya maheo {rows},Nî {rows},Kurasa inayofuata,Kurasa ya kabla,Kurasa {page},Ithe ukurasa,Nyahurwo kila kurasa
kk,Кесте деректерді қамтылмайды,{name} бойынша сұрыптау,{name} бойынша сүзгі,Іздеу,Келесі,Алдыңғы,{page} / {pages},{rows} жолдан {rowStart}\u2013{rowEnd},{rows} көрсету,Келесі бет,Алдыңғы бет,Бет {page},Бетке өту,Беттердегі жолдар
kkj,Mbɛ̀ ntéé kɔ́nɔ̀ núù,Tɛmɔ {name},Sɛɛn {name},Nyini,Njamaa,Sɔɔ́ĩ,{page} de {pages},{rowStart}\u2013{rowEnd} kí {rows} tsɔɔ̀,Lom {rows},Fe'enga ya nɔɔnɔ,Kuŋŋiyɛɛl kɛ mɛtɔ,Pɛn {page},Yem nemberi,Lɛki kɛ ɓɛɛnɔ
kl,Tavip ineqqarsimasoq,Ataqqarpoq {name},{name}-sippaat,Ippassaq,Ilaqqip,Imaqa,{page}/{pages}-i,{rowStart}\u2013{rowEnd} av {rows} rækker,Nalunaarut {rows},Qinikkusunngu pisinnaatitaaffeqarfia,Ineqqarsimasoq pillugu,Ataqatigiitsoq {page},Imeqqutigalugu pillugu,Atuutitsivippaat
kln,Tepililishi tilaata,Tangatia {name},Chungulia {name},Kosir,Tulõkõs,Taita,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} sere,Kipto {rows},Kurasa ya eneene,Ng'ambo ya mbere,Epayi {page},Iyandikire kujira,Ngech kila sebet
km,តារាងគ្មានទិន្នន័យ,តម្រៀប​តាម {name},ចម្រៀង {name},ស្វែងរក,បន្ទាប់,មុនដំបូង,{page} នៃ {pages},{rowStart}\u2013{rowEnd} នៃជួរដេក {rows} ជួរ,បង្ហាញ {rows},ទំព័រ​បន្ទាប់,ទំព័រមុន,ទំព័រ {page},ទៅទំព័រ,ជួរដេកក្នុងមួយទំព័រ
kn,ಟೇಬಲ್ ಯಲ್ಲಿ ಯಾವುದೇ ಡೇಟಾ ಇಲ್ಲ,{name} ವನ್ನು ಕ್ರಮಿಸಿ,{name} ಸೋಸಿದಂತೆ ಆಯ್ಕೆಮಾಡಿ,ಹುಡುಕಿರಿ,ಮುಂದಿನ,ಹಿಂದಿನ,{pages}-ಯ {page}-ನ್ನು},{rows} ಸಾಲುಗಳಲ್ಲಿನ {rowStart}\u2013{rowEnd},{rows} ತೋರಿಸಿ,ಮುಂದಿನ ಪುಟ,ಹಿಂದಿನ ಪುಟ,ಪುಟ {page},ಪುಟಕ್ಕೆ ಹೋಗಿ,ಪುಟದ ಕ್ರಮಗಳು
ko,테이블에 데이터가 없습니다,{name} 정렬,{name} 필터,검색,다음,이전,{pages} 중 {page},{rows} 줄 중 {rowStart}\u2013{rowEnd}번째 줄,{rows} 표시,다음 페이지,이전 페이지,페이지 {page},페이지로 이동,페이지당 행 수
kok,तालिकेत कोणताही डेटा नाही,{name} वर्गीकरण,{name} फिल्टर करा,शोध,दुसरो,फाटलेलो,{page} च्या {pages} च्या,{rows} वरील {rowStart}\u2013{rowEnd},{rows} दाखवा,पुढील पान,आदेश पान,पान {page},पानावर जा,पोटांच्यो दर पान
ks,ٹيبل مے کان ڈيٹا ناهیں,{name} آراستھی کرھن,{name} فِلٹَر کَرَن,تلاش,بعدی,پہل,{page} دٕہٕر {pages} دٕٔیٖ,{rowStart}\u2013{rowEnd} دٔ {rows} قطہ,{rows} وچھون,بعدی صفحہ,پوٚٹھ کٔتھ,صفحہ {page},صفحہ بيٹھو,तालिका प्रति पन्नी
ksb,Jedwali halina data,Panga {name},Chuja {name},Kutafuta,Ifuatayo,Iliyopita,{page} ya {pages},{rows} za {rowStart}\u2013{rowEnd} ya mifereji,Onyesha {rows},Kurasa inayofuata,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Mstari kila ukurasa
ksf,Vùù à ndôlô nìì ànà,Doh {name},Yémbé {name},Kɛnɛ,Kɔɔyɔŋ,Pɛsa,{page} na {pages},{rows} zɔŋ {rowStart}\u2013{rowEnd} à ná,Njɛ {rows},Ko'o mbɔnyi,Sɛɛnduɗo-kala,Paa'n {page},Gaañi lekkal,Ndɛmbɛ́nɛ mɛ́bɔ́ na ngon
ksh,Dä Taffel hät kääne Daten,Zomme noh {name},Filtréere noh {name},Söke,Nöhs,Vöruß,{page} vun {pages},{rowStart}\u2013{rowEnd} vun dä {rows} Zeile,Zeisch {rows},Näxte Sigge,Vöruje Sigge,Sigg {page},Zur Sigg noh,Zeile pro Sigg
ku,Tabloya daneyên tên xuyanî kirin tune ye,Li gorî {name} ve,Lêgerîn {name},Lêgerîn,Dûrî,Pêşî,{page}/{pages},{rowStart}\u2013{rowEnd} ji {rows} rîwên,{rows} nîşan bide,Rûpela pêşîn,Rûpelê berê,Rûpel {page},Biçe rûpelê,Rêzên li her peyvînê
kw,Nyns eus data yn y tabel,Talvoudh {name},Sylfa {name},Kewsel,War-lergh,Kynsa,{page} a {pages},{rowStart}\u2013{rowEnd} a-dro dhe {rows} radh,Diskwedh {rows},Folenn war-dhiw,Folenn kynsa,Skeul {page},Gul dhe'n folen,Tewlyn war-bord
ky,Жадыба даталарды көрсөтпөйт,{name} боюнча тизмелөө,{name} боюнча сүзгү,Издөө,Келеси,Алдындагы,{page}/{pages},{rows} жолу {rowStart}\u2013{rowEnd},{rows} көрсөтүү,Кийинки бет,Алдынкы бет,Бет {page},Бетке өтүү,Беттердеги барактар
lag,Jedwali halina data,Panga {name},Chuja {name},Tafuta,Ifuatayo,Kabla ya,{page} ya {pages},{rows} za {rowStart}\u2013{rowEnd} kati za mpande,Onyesha {rows},Kurasa inayofuata,Kurasa ya mbele,Kurasa {page},Enda kwenye ukurasa,Mstari kila ukurasa
lb,D'Tabel enthält keng Donnéeën,Zortéieren no {name},Filter no {name},Sichen,Nächst,Viriicht,{page} vu {pages},{rowStart}\u2013{rowEnd} vu {rows} Reien,Weisen {rows},Nächst Säit,Virege Säit,Säit {page},Zur Säit goen,Reien pro Säit
lg,Tebulu tezikola,Sibwe {name},Senga nga {name},Okuwasa,Enkya,Enkya,{page} mu {pages},{rowStart}\u2013{rowEnd} mu {rows} endagiriro,Londa {rows},Edduka eryʼokwambuka,Edduka lyokka,Olupapula {page},Genda mu lupapula,Ebifa kila mpapula
lkt,Máza yašté yeló,{name} kiŋ he gaži,{name} wóglaka,Wóuŋspe,Wicóni,Wicóihaŋ,{page} of {pages},{rows} okháŋkȟu kiŋ {rowStart}\u2013{rowEnd},{rows} iyélo,Wicayunkapi wahehapi,Wičaƞȟpi wí,Wicaksa {page},Kici kin hehapi,Okhíčhiya tȟawápaha
ln,Table ezali mabé,Sosolá na {name},Futá na {name},Kosala,Ezali kaka ya liboso,Eleki,{page} na {pages},{rowStart}\u2013{rowEnd} ya {rows} makoki,Bakúmisi {rows},Mokɛ́lɛ́ wa libosó elánde,Page précédente,Lokola {page},Kende na page,Mokomi mwa libosó
lo,ຕາແມັດບໍ່ມີຂໍ້ມູນ,ຈັດ​ລຽງ {name},ກັ່ນຕັ້ງ {name},ຄົ້ນຫາ,ຕໍ່ໄປ,ກ່ອນກັບ,{page} ຂອງ {pages},{rowStart}\u2013{rowEnd} ຂອງ {rows} ບໍ່,ສະແດງ {rows},ໜ້າ​ຕໍ່​ໄປ,ໜ້າກ່ອນ,ໜ້າ {page},ໄປໜ້າໜຶ່ງ,ການນັບໂຕ້ສໍາລັບຕອນນີ້
lrc,کورته‌ی داتا نییه,Sɔ́tɔ {name},Fɛlta {name},Sɛrch,Gbar,ዝርዝር,{page} of {pages},{rowStart}\u2013{rowEnd} of {rows} rows,Sho {rows},پشتی دمەزراو,پشتی بتن,پاچه‌ {page},بو تپ وشتن,ستونی بر په‌ژمانه‌
lt,Lentelėje nėra duomenų,Rikiuoti pagal {name},Filtruoti pagal {name},Ieškoti,Kitas,Ankstesnis,{page} iš {pages},{rowStart}\u2013{rowEnd} iš {rows} eilučių,Rodyti {rows},Kitas puslapis,Ankstesnis puslapis,Puslapis {page},Eiti į puslapį,Eilutės puslapyje
lu,Tábulu tèkèlè,Sosolola mu {name},Loya na {name},Peta,Mpeve,Mpɔ́ɔ́ni,{page} ya {pages},{rows} mu {rowStart}\u2013{rowEnd},Kóká {rows},Lupapulu ufu,Pene ya mbala,Lupapula {page},Kuélu mpe mpe,Mipande ya kila ukurasa
luo,Nyakalaga nyinge kendo,Wandiko {name},Ochake {name},Gworo,Nyathi,Nyasaye,{page} ka {pages},{rows} gi {rowStart}\u2013{rowEnd},Pe {rows},Poko duto,Kamano ka neno,Dwe {page},Odhiambo ka piny,Wach piny koro
luy,Kahawa ina data,Sorata {name},Khusia {name},Schenya,Ifuatayo,Mbele,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} tsundu,Ongelesa {rows},Kurasa ya mbere,Kurasa kabla,Kurasa {page},Enda kwenye ukurasa,Mafumbo kila khati
lv,Tabulā nav datu,Kārtot pēc {name},Filtrēt pēc {name},Meklēt,Nākamais,Iepriekšējais,{page} no {pages},{rowStart}\u2013{rowEnd} no {rows} rindām,Rādīt {rows},Nākamā lapa,Iepriekšējā lapa,Lapa {page},Iet uz lapu,Rindas uz lapu
mai,टेबल में कोई डेटा नहीं है,{name} को छाँटेर क्रमबद्ध गरी दें,{name} छान्‍नुहोस्,खोज,अगला,पिछला,{page} के {pages} में,{rowStart}\u2013{rowEnd} के {rows} पंक्ति से,{rows} देखाउनुहोस्,अगला पृष्ठ,पिछला पृष्ठ,पृष्ठ {page},पृष्ठ पर जाएं,पृष्ठ प्रति पंक्तियाँ
mas,Meza ina data,Pangusa {name},Chuja {name},Kutafuta,Olotuno,Ilaiti,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} kuterwa,Somonie {rows},Kurasa inayofuata,Lerash mibei,Oloolopil {page},Kwenda kwenye ukurasa,Ntobo kapena olutuka enkata
mer,Teibolu hauna data,Kurutu {name},Sagia {name},Kukhuza,Mbeu,Kũtherera,{page} ya {pages},{rowStart}\u2013{rowEnd} ya matawi {rows},Kwonya {rows},Kurasa inayofuata,Kurasa ya mbele,Kurasa {page},Kwenda kwenye ukurasa,Micene kila nkugorio
mfe,Tab-la pa kontan okenn done,Tir {name},Filtre lor {name},Cherch,Prochen,Presezan,{page} lor {pages},{rowStart}\u2013{rowEnd} dan {rows} linn,Montre {rows},Laprosenn swivan,Paz-precedan,Paz {page},Alé lorz lapaz,Lignes par page
mg,Tsy misy angona ao amin'ny tabilao,Soraty eo amin'{name},Fivarotana amin'ny {name},Fidio,Manaraka,Taloha,{page} avy amin'i {pages},{rowStart}\u2013{rowEnd} avy amin'ny {rows} filaosy,Aseho {rows},Fanjary manaraka,Pejy teo aloha,Pejy {page},Miverina ao amin'ny pejy,Lohateny etsy ambony fihirana
mgh,Meza hauna data,Lombelela {name},Vula {name},Thera,Ufwamwenge,Lɛɛli,{page} lya {pages},{rowStart}\u2013{rowEnd} ya {rows} mafuwa,Fambisa {rows},Xongelelo xa wun'we,Kurasa ya kwanza,Hɛɛyɛ {page},Kwenda kwenye ukurasa,Ntumbuluko ya kila papira
mgo,Ndolèli ya kudatamo,Hoyehia {name},Sékin {name},Nyɛm,Ndolo,Ɖɔɔ,{page} ńe {pages},{rowStart}\u2013{rowEnd} na {rows} məzú ɗów,Nyuu {rows},Ngehe sida,Nyɛmbe mbuʼ,Paa {page},Wuwoñëla e págín,Nɛ́mbɔ́ na nguŋgalɛ
mi,Kaore he raraunga i roto i te ripanga,Tiritahi {name},Tātari {name},Rapua,Panuku,I mua,{page} o {pages},{rowStart}\u2013{rowEnd} o nga {rows} rarangi,Whakaatu {rows},Whārangi e mua ake nei,Whārangi o mua,Whārangi {page},Haere ki te whārangi,Rārangi mō ia whārangi
mk,Табелата нема податоци,Сортирај според {name},Филтрирај по {name},Пребарување,Следно,Претходен,{page} од {pages},{rowStart}\u2013{rowEnd} од {rows} редици,Прикажи {rows},Следна страница,Претходна страница,Страница {page},Оди на страница,Редови по страница
ml,ടേബിളിൽ ഡാറ്റ ഇല്ല,{name} പിന്തുടരുക,{name} വിടുക,തിരയൽ,അടുത്തത്,മുൻപുള്ള,{page} ഓഫ് {pages},{rowStart}\u2013{rowEnd} ന്റെ {rows} വരികളിൽ,{rows} കാണിക്കുക,അടുത്ത പേജ്,മുൻപത്തെ പേജ്,പേജ് {page},പേജിലേക്ക് പോവുക,പേജുകളിൽ വരികൾ
mn,Хүснэгт мэдээлэл алга,{name} -р сор,{name}-р шүүх,Хайх,Дараах,Өмнөх,{pages}-н {page},{rows} мөрөөс {rowStart}\u2013{rowEnd},{rows} харуулах,Дараагийн хуудас,Өмнөх хуудас,Хуудас {page},Хуудас руу очих,Хуудсын мөрнүүд
mni,টেবিলত নিঙালা নাইবে,{name} लोबद्रें,{name} ফিল্টার চেয়া,লৈবাকল,পানফাংগ,মানকং,{pages} এবং {page} নাং,{rowStart}\u2013{rowEnd} ꯍꯦꯝꯂꯦꯟꯕꯁ ꯅꯤꯖꯤꯡꯁ ꯍꯩꯄꯥꯕ,দেখাওক {rows},পানবিপুল,মাঝাপোকপী পান,ꯃꯤꯇꯩ ꯊꯤꯜ {page},ꯍꯤꯛ ꯍꯦꯝ,ꯁꯤꯡꯁꯤꯡꯕ ꯋꯥꯡꯂꯤ ꯊꯤꯛꯄꯠ
mr,टेबलमध्ये डेटा नाही,{name} वर्गीकरण करा,{name} फिल्टर करा,शोध,पुढे,आधीचे,{page} च्या {pages} मध्ये,{rows} ओळीतील {rowStart}\u2013{rowEnd},{rows} दाखवा,पुढील पृष्ठ,मागील पृष्ठ,पृष्ठ {page},पृष्ठावर जा,प्रत्येक पृष्ठावरील पंक्ती
ms,Tiada data dalam jadual,Isihkan mengikut {name},Tapis {name},Cari,Seterusnya,Sebelumnya,{page} daripada {pages},{rowStart}\u2013{rowEnd} daripada {rows} baris,Tunjukkan {rows},Laman seterusnya,Halaman sebelumnya,Halaman {page},Pergi ke halaman,Baris setiap halaman
mt,It-tabella m'għandhiex data,Sorti skont {name},Filtraw skond {name},Fittex,Li jmiss,Preċedenti,{page} minn {pages},{rowStart}\u2013{rowEnd} minn {rows} sular,Uri {rows},Paġna li Jmiss,Paġna Preċedenti,Paġna {page},Mur għajnuna għall-paġna,Saffi fil-paġna
mua,Meza hauna data,Nyɛzɛnɛ {name},Ntɛɛn {name},Wɛɛndɛ,Neegula,Lumɔɔni,{page}/{pages},{rowStart}\u2013{rowEnd} a {rows} ngwã,A ti kɨn {rows},Página próxima,Tɛnkɛramɔgɔ la,Tɔɔlɛ {page},Yi ɗum saare,Mbuun kəɗi ŋkaaya
my,ဇယားတစ်ခုကိုဒေတာများမရှိသောအခါ,{name} အတွင်း စီမံပါ,{name} စစ်ထုတ်ပါ,ရှာဖွေရန်,နောက်တခြား,ရွေးလျှောက်,{page}/{pages} မှ,{rows} စာမျက်နှာများကို {rowStart}\u2013{rowEnd} ကြိုတင်,{rows} ပြသပေးပါ,နောက်ဆုံးစာမျက်နှာ,နောက်ဆုံးစာမျက်နှာ,စာမျက်နှာ {page},စာမျက်နှာသို့သွားရန်,စာထွက်များစွာမျက်နှာတစ်ခုတည်း
mzn,جدول شونده دادی نیست,مرتب‌سازی بر پایهٔ {name},{name} سیاه کن,گۆیستن,بعدی,پیشین,{page} دی {pages},{rows} سطر از {rowStart}\u2013{rowEnd},{rows} نشان دادن,صفحه بعدی,صفحهٔ قبلی,صفحه {page},به بتن برو,ردیفهای هر صفحه
naq,Table ha nawa nawa,Koha {name},Filaata {name},Ondjozi,Omukulugu,Khaeb,{page} / {pages},{rows} zẹ {rowStart}\u2013{rowEnd},Omaa {rows},Ongombe ombili,Ogha a ntsa̲,Sae {page},Ku fikula ekaaro,Riiputa komeho
nb,Tabellen inneholder ingen data,Sorter etter {name},Filtrer etter {name},Søk,Neste,Tidligere,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} rader,Vis {rows},Neste side,Forrige side,Side {page},Gå til side,Rader per side
nd,Ithabhulohayina idatha,Susa {name},Lungisa ngokushesha {name},Bhala,Iphinde,Kusasa,{page} ka {pages},{rows} kwe {rowStart}\u2013{rowEnd} ezinye,Bonisa {rows},Isikhashana esilandelayo,Iphepha elifasitayo,Phepha {page},Hamba esivakasini,Amakilasi ngaphezulu kwesikhala
nds,De Tabelle hett keen Date,Sorteer noh {name},Filtreren na {name},Söken,Nääste,Vörige,{page} von {pages},{rowStart}\u2013{rowEnd} vun {rows} Reihen,Wiesen {rows},Nächste Siete,Vorherige Siede,Siede {page},Tog se Siede,Reihen per Sied
ne,तालिकामा कुनै डाटा छैन,{name} अनुसार वर्गीकृत गर्नुहोस्,{name} फिल्टर गर्नुहोस्,खोज्नुहोस्,अर्को,पहिलो,{page} को {pages},{rows} मध्य {rowStart}\u2013{rowEnd},{rows} देखाउनुहोस्,अर्को पृष्ठ,अघिल्लो पृष्ठ,पृष्ठ {page},पृष्ठमा जानुहोस्,पृष्ठ प्रति पङ्क्तिहरू
nl,Tabel bevat geen gegevens,Sorteren op {name},Filteren op {name},Zoeken,Volgende,Vorige,{page} van de {pages},{rowStart}\u2013{rowEnd} van de {rows} rijen,Toon {rows},Volgende pagina,Vorige pagina,Pagina {page},Ga naar pagina,Rijen per pagina
nmg,Latabilya alatsaham-pifidianana,Hoyehiia {name},Lɛ́kɛlɛ {name},Ko'o,Sɔ́nɔ́,Vay,{page} avy amin'ny {pages},{rows} ghu {rowStart}\u2013{rowEnd} a mvu,Lèkɛlèkɛ {rows},Fanjakan'ny sabatra,Nyɛmbe mbuʼ,Tɛɛge {page},Mba hihira-pejy,Nkɔndɔ mwa ayi pagi
nn,Tabellen inneheld ingen data,Sorter etter {name},Filtrer etter {name},Søkja,Neste,Førre,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} rader,Vis {rows},Neste side,Førehandsside,Side {page},Gå til side,Rad per side
nnh,Sɔ́ məɗə njiŋkaanə njiʼəŋ,Nji {name},Fèèn {name},Cə́nə́,Mɛsu,Kó,{page} ɗi {pages},{rowStart}\u2013{rowEnd} na {rows} mbuu,Hɛrɛ {rows},Foləmə,Kurasa ya mbele,Pɛɛji {page},Và àʼtɛ̀ʼ,Njap mɛ́náŋkɔ́ kíŋé
no,Tabellen inneholder ingen data,Sorter etter {name},Filtrer etter {name},Søk,Neste,Tidligere,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} rader,Vis {rows},Neste side,Forrige side,Side {page},Gå til side,Rader per side
nus,Table apenyo wou,Jwalie {name},Kuöc {name},Cɔ̈c,Ciniif,Lwakni,{page} ku {pages},{rowStart}\u2013{rowEnd} ti {rows} dhieth,Thok {rows},Dhiɛm kaŋ,Dɔɔŋ thok,Duɔr {page},Tuakani e palko,Makic kuɔc kɛ ca̱l
nyn,Tepililoni si haba data,Kwambata {name},Kukkiriza ebyʼ{name},Kurasa,Obulayi,Chete,{page} av {pages},{rowStart}\u2013{rowEnd} ya {rows} emirundi,Nyangize {rows},Oloolondi olukulu,Kuva kwechi,Leb {page},Ondoka kw'iyo,Endagaano za kila mpapula
om,Miidhaan waliin walitti qaban,Sira {name},Fayyadamu {name},Gara,Dura,Itoophiyaa,{page} of {pages},{rows} qabdi {rowStart}\u2013{rowEnd},Kan {rows} qabdu,Fuula dura,Fuula duraa,Fayyaa {page},Galii sa'aatiin,Kaayyoo kutaanii
or,ଟେବଲରେ କୋଣାଣ୍ଟି ତଥ୍ୟ ନାହିଁ,{name} ଅନୁସାରେ କ୍ରମବଦ୍ଧ କରନ୍ତୁ,{name} ଛାଙ୍କା,ଖୋଜିବେ,ପରବର୍ତ୍ତୀ,ପୂର୍ବବର୍ତ୍ତୀ,{page} ଅଧିକାରେ {pages}-ରୁ,{rows} ପଙ୍କ୍ତି ରେ {rowStart}\u2013{rowEnd},{rows} ଦେଖାନ୍ତୁ,ପରବର୍ତ୍ତୀ ପୃଷ୍ଠା,ପୂର୍ବବର୍ତ୍ତୀ ପୃଷ୍ଠା,ପୃଷ୍ଠା {page},ପୃଷ୍ଠାରେ ଯାଉଥିବେ,ପୃଷ୍ଠାର ପଙ୍କ୍ତି
os,Таблицæ фæстæ дæртæ нæйы,{name} æхыстæн сорттæуд,{name}-æф филтр,Хайх,Дигӕйы,Хуызгъон,{page} / {pages},{rowStart}\u2013{rowEnd} фӕстӕр {rows},Æцыг {rows},Следующæйы стæнд,Æндæрæг дивас,Страницæ {page},Беты иу,Рядтæ ӕн страницæ
pa,ਟੇਬਲ ਵਿੱਚ ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਹੈ,{name} ਨੂੰ ਸਾਡੇ ਅਨੁਸਾਰ ਸੋਰਟ ਕਰੋ,{name} ਫਿਲਟਰ ਕਰੋ,ਖੋਜੋ,ਅਗਲਾ,ਪਿਛਲਾ,{page} ਦੇ {pages}-ਵਿੱਚ,{rows} ਕਤਾਰਾਂ ਵਿੱਚੋਂ {rowStart}\u2013{rowEnd},{rows} ਦਿਖਾਓ,ਅਗਲਾ ਪੇਜ,ਪਿਛਲਾ ਸਫ਼ਾ,ਸਫ਼ਾ {page},ਪੰਨੇ 'ਤੇ ਜਾਓ,ਪੰਨੇ ਵਿੱਚ ਕਤਾਰਾਂ
pcm,Tabu No Get Data,Sọt {name},Sift by {name},Find,Nẹkst,Bifọ,{page} Ọf {pages},{rowStart}\u2013{rowEnd} of {rows} ro,Sho {rows},Nẹkst pẹj,Prijos Pék,Pej {page},Gọ tọ pẹj,Row-dem per peji
pl,Brak danych w tabeli,Sortuj według {name},Filtruj według {name},Szukaj,Następny,Poprzedni,{page} z {pages},{rowStart}\u2013{rowEnd} z {rows} wierszy,Pokaż {rows},Następna strona,Poprzednia strona,Strona {page},Idź do strony,Wiersze na stronie
ps,د جدول ته معلومات نشته,{name} په ترتیب کول,{name} سیبسټ کول,لټون کول,بعدی,مخکینی,{page} د {pages},{rows} سطره {rowStart}\u2013{rowEnd},ښکاره کړئ {rows},بلندی پاڼه,مخکې پاڼه,پاڼه {page},لاسته راوړل,سطره غواړه پر پاڼه
pt,A tabela não tem dados,Ordenar por {name},Filtrar por {name},Pesquisar,Próximo,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} linhas,Mostrar {rows},Próxima página,Página anterior,Página {page},Ir para página,Linhas por página
qu,Muk'unaqaqa lliwtaqa kani,{name}paq sipasqa,{name}-kunaq yachachiy,Rimay,Qhipa,Hinaq,{page} de {pages},{rows} qhaway {rowStart}\u2013{rowEnd},Kayna {rows},Qhipa qallariy,Ñawpa p'anqa,P'anqa {page},Pananmi kachun,Pʼanqa kani
rm,La tabella na duai datis,Surtirar secund {name},Filtrar suenter {name},Chatschar,Proxim,Precedent,{page} da {pages},{rowStart}\u2013{rowEnd} da {rows} radundas,Muss {rows} a,Proxima stad,Pagina precedenta,Page {page},Ir a la pagina,Randas per pagina
rn,Teyiburu ntibaho,Kuranga {name},Hindura kuri {name},Kugura,Kuva,Icyumweru,{page} ya {pages},{rows} muri {rowStart}\u2013{rowEnd},Raba {rows},Ibindi iheruka,Ikurasa ry'umwanya wundi,Ikiganiro {page},Haza ku wa mpapuro,Indwara zose kuri paji
ro,Tabelul nu conține date,Sortează după {name},Filtrare după {name},Căutați,Următorul,Anterior,{page} din {pages},{rowStart}\u2013{rowEnd} din {rows} rânduri,Arată {rows},Următoarea pagină,Pagina anterioară,Pagină {page},Du-te la pagină,Rânduri pe pagină
rof,Meza hauna data,Lomboleza {name},Chuja kwa {name},Lahisi,Ijumaa,Kabla,{page} ya {pages},{rows} za {rowStart}\u2013{rowEnd},Onyesha {rows},Kurasa ifuatayo,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Nundu zose kila ukurasa
ru,В таблице нет данных,Сортировать по {name},Фильтровать по {name},Поиск,Следующий,Предыдущий,{page} из {pages},{rowStart}\u2013{rowEnd} из {rows} строк,Показать {rows},Следующая страница,Предыдущая страница,Страница {page},Перейти к странице,Строк на странице
rw,Tabeli ntibaho,Kurangiza inyandiko zifatika ku {name},Fungura hagati ya {name},Shaka,Urukundo,Uwo munsi,{page} kuri {pages},{rows} zose {rowStart}\u2013{rowEnd},Subira {rows},Ikiganiro gitandukanye,Kurasa y'umunani,Ibikoresho {page},Ohereza kuri page,Ibikoresho kuri urupapuro
rwk,Tabela haina data,Yunga {name},Wakirira {name},Kugura,Gwingo,Ibutumwa,{page} ya {pages},{rows} ya {rowStart}\u2013{rowEnd},Onesha {rows},Kurasa ifwatayo,Kurasa ya nyuma,Kurasa {page},Enda kwenye ukurasa,Mistari kila ukurasa
sa,तालिकाम् अपि अभावात्,{name} अनुसारः क्रमवर्गीकृतः,{name} छानितुं,खोज्,अग्रणी,पूर्ववत्,{page}/{pages},{rows} सूत्रेषु {rowStart}\u2013{rowEnd},{rows} दर्शय,अग्रिमपृष्ठम्,पूर्वपृष्ठम्,पृष्ठः {page},पृष्ठम् गच्छ,पङ्क्तयः पृष्ठः
sah,Хөтөлбөр иһинээҕитин көрдөрбөтө,{name} өткөрүнө өйдөө,{name} уөтүөрүнэн сүзүө,Ыраас буолуо,Аныгыскы,Алгыс,{page} - {pages} сирэйээх,{rows} сирэйэн {rowStart}\u2013{rowEnd},{rows} көрдөр,Киһи эрэ ыыта,Арах паҕта,Бет {page},Куоппуйахха тускэрэ,Баһа баһаана өтүнэр
saq,Komeza hakuna data,Panga {name},Sagia {name},Kúresa,Kesho,Ng'ama,{page} ya {pages},{rows} ya {rowStart}\u2013{rowEnd},Hiw {rows},Nquruniire kanisa,Sida hore,Kurasa {page},Kwenda kwenye ukurasa,Nondie ti kila ng'ama
